Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/18/2023 10:14:09,3800,5800,2,6,0,QA,QA,София,Няма overtime,3500,,java,да,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, бонусите са фиксирани",Продукт,Не,32,Да,Не,Да,
1/18/2023 10:18:27,3000,9600,5,8,1,Разработка на софтуер (Dev),Senior Software Engineer,София,Не,0,,Java,"Да, но не на ИТ екипи",да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,15к $ годишно,25,Да,Не,Да,
1/18/2023 10:23:24,9000,9000,4,7,0,Разработка на софтуер (Dev),Fullstack developwer,София,Няма overtime,0,,,не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,,"не, нямаме бонуси",Продукт,,25,Да,Да,Да,
1/18/2023 10:25:12,3400,5000,2,7,2,QA,QA,София,Няма overtime,5000,,,не,да,дистанционно по желание без ограничение,не,не,да,"не, бонусите са фиксирани",Сървис,Не,30,Да,Да,Да,
1/18/2023 10:29:56,7500,10000,2,8,0,Разработка на софтуер (Dev),full stack .net developer,гр. Америка (100% remote),Няма overtime,0,американска компания,".net, blazor wasm, ms sql, azure, javascript, jquery","не, даже наеха product owner и scrum master",не,100% дистанционно,"да, но не се налага спазването им",да,да,"не, нямаме бонуси",Продукт,не,0,Не,Не,Не,Контрактор съм - часовете трябва да ги отчета иначе няма как да ми платят :) 
1/18/2023 10:36:50,4400,4400,0.3,6,0,Software Engineer ,Software Engineer ,Варна,Да,1000,,,не,не,100% дистанционно,"да, но не се налага спазването им",да,да,да,Сървис,да,20,Да,Не,Да,
1/18/2023 10:37:47,5500,5500,2,14,0,Разработка на софтуер (Dev),Software Developer,Home,Няма overtime,5500,,C++,не,не,100% дистанционно,"да, но не се налага спазването им",да,да,"не, бонусите са фиксирани",Бодилизинг,,,Не,Не,Не,
1/18/2023 10:39:02,550,550,10,0,0,QA,QA Junior Game Tester ,София,Няма overtime,0,Gameloft,,да,не,няколко задължително присъствени дни,"да, но не се налага спазването им",да,"не, работим фиксирано","не, нямаме бонуси",Продукт,No,20,Не,Не,Не,
1/18/2023 10:39:43,3000,3000,1.5,3.5,0,QA,QA,София,Няма overtime,0,UK startup,,не,не,дистанционно по желание без ограничение,не,не,да,"не, нямаме бонуси",Продукт,,25,Да,Да,Не,
1/18/2023 10:40:16,4500,4500,0,7,0,QA,Senior Manual QA Engineer,София,Няма overtime,1200,,"Java, MySQL, K8S, Docker,",не,Твърде съм нов.,дистанционно по желание без ограничение,"да, и следи за спазването",не,"не, работим фиксирано",да,Продукт,Не.,30,Да,Да,Не съм сигурен.,"50 лева допълнителни за интернет и ток, при работа от вкъщи."
1/18/2023 10:44:48,4200,8000,1,4,0,Разработка на софтуер (Dev),Fullstack JS Developer,Пловдив,Няма overtime,1000,,"Vuejs, Next.js",не,да,100% дистанционно,не,не,да,"не, бонусите са фиксирани",Бодилизинг,ne,25,Да,Да,Да,
1/18/2023 10:53:51,1200,2000,5,7,2,DevOps,Web Administrator,Варна,Не,2000,,"Linux, web servers, python, etc",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,,25,Да,Да,Да,
1/18/2023 10:56:28,1500,4000,3,4,2,Разработка на софтуер (Dev),Website Developer,София,Не,1000,,"Php, JavaScript, PostgreSql",не,да,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, бонусите са фиксирани",Сървис,,21,Не,Не,Да,
1/18/2023 10:58:02,,5200,,4,0,Разработка на софтуер (Dev),software engineer,София,Да,4000,,"Java, Srping, JPA, Postgre, Mongo, Kubernetes, Kafka",не,не,100% дистанционно,"да, но не се налага спазването им",не,"не, работим фиксирано",да,Сървис,не,25,Да,Да,имаме достъп до Udemy и подобни,
1/18/2023 11:03:28,2100,3150,5,10,0,Поддръжка на софтуер (Support),Senior Technical Support L2,София,Няма overtime,0,,,да,не,дистанционно по желание без ограничение,"да, и следи за спазването",не,"не, работим фиксирано","не, нямаме бонуси",Сървис,не,25,Да,Да,Да,
1/18/2023 11:20:34,3500,5000,1,6,3,Разработка на софтуер (Dev),Java Dev,Варна,Да,2000,,"Java, Spring, Postgree",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,"не, но може да си тръгна ако приключа със задачите за деня","не, бонусите са фиксирани",Сървис,не,24,Да,Да,Да,
1/18/2023 11:22:05,12000,12000,1,10,0,Разработка на софтуер (Dev),Staff Software Engineer ,София,Да,0,,"C#, MySQL, GCP, React",не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,да,Продукт,Не,25,Да,Да,Да,
1/18/2023 11:25:47,8900,8900,1,10,5,Разработка на софтуер (Dev),Lead Developer,remote,Няма overtime,25000,,Java,не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",не,"не, но може да си тръгна ако приключа със задачите за деня",да,Продукт,,31,Да,Не,Не,
1/18/2023 11:28:05,7500,7500,1,16,0,QA,Senior QA Automation,София,Няма overtime,0,,"Python, Behave, Selenium, Appium",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Продукт,да,25,Да,Да,Да,
1/18/2023 11:31:38,7500,8500,2,8,0,Разработка на софтуер (Dev),Senior Software Engineer,София,Да,0,,Python,да,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,опции,30,Да,Да,Не,
1/18/2023 11:37:34,,6500,5,15,5,BI,Data analytics manager,София,Да,0,,"MySQL,power bi, python, nodeJS",не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,не,20,Да,Да,Не,
1/18/2023 11:47:03,6000,6000,4,10,0,Разработка на софтуер (Dev),Full stack developer,София,Няма overtime,0,,"JavaScript, nodejs, react, typescript",не,не,100% дистанционно,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,не,20,Не,Не,Не,
1/18/2023 11:50:22,7138,8650,2,10,0,Разработка на софтуер (Dev),Софтуерен Инженер,София,Да,0,,"C, C++, Assembly",не,"сам си го поисках, не заради инфлацията",дистанционно по желание без ограничение,"да, и следи за спазването",да,"не, но може да си тръгна ако приключа със задачите за деня","не, нямаме бонуси",Бодилизинг,не,20,Не,Не,Не,плаща се на час. допълнителни придобивки няма. 
1/18/2023 11:58:27,6000,8000,3,7,0,Разработка на софтуер (Dev),Senior Backend Engineer,София,Няма overtime,0,,,не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Бодилизинг,няма,20,Не,Не,Не,
1/18/2023 12:00:00,8000,12000,2,10,3,Мениджмънт/Тиим Лиид,Lead Software Engineer,София,Няма overtime,30000,,"Java,React,JavaScript,Python",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,да,Сървис,,30,Да,Да,Да,
